model,protocol,stratify_by,stratum,n_wells,n_points,global_rmse,median_well_rmse,worst_well_rmse
ridge_default,unseen_well,hidden_suffix_length,2k-4k,155,444425,2.235636337336966,1.4044486418509885,6.871399768310264
ridge_affine_cal,unseen_well,hidden_suffix_length,2k-4k,155,444425,2.258152880579301,1.4776540609497308,7.084813307115248
ridge_multibranch,unseen_well,hidden_suffix_length,2k-4k,155,444425,2.26628412919161,1.465337555885451,6.809150699066071
ridge_affine_multibranch,unseen_well,hidden_suffix_length,2k-4k,155,444425,2.292769206790957,1.5947522098414908,7.1603375938431855
ridge_gated_gbdt,unseen_well,hidden_suffix_length,2k-4k,155,444425,2.8476046832755055,1.3340502401090104,13.762948821740531
ridge_default,unseen_well,hidden_suffix_length,1k-2k,75,122989,2.335162999711066,1.0109804528884119,9.932341530860068
ridge_affine_cal,unseen_well,hidden_suffix_length,1k-2k,75,122989,2.319212395271633,1.0155016883731565,9.681274984122508
ridge_multibranch,unseen_well,hidden_suffix_length,1k-2k,75,122989,2.3833495662355757,1.1376801837631079,9.448318960339893
ridge_affine_multibranch,unseen_well,hidden_suffix_length,1k-2k,75,122989,2.305088873837481,1.0015209499396713,8.899058036073482
ridge_gated_gbdt,unseen_well,hidden_suffix_length,1k-2k,75,122989,2.478921692351719,0.7263106862656297,9.932341530860068
ridge_default,unseen_well,hidden_suffix_length,>4k,8,33822,2.0258844528419715,1.8381881516975678,3.0580348945489737
ridge_affine_cal,unseen_well,hidden_suffix_length,>4k,8,33822,2.1694370755330223,1.9431412948351456,3.5826981617706215
ridge_multibranch,unseen_well,hidden_suffix_length,>4k,8,33822,2.14058861460337,1.9211023584609608,3.258626245302721
ridge_affine_multibranch,unseen_well,hidden_suffix_length,>4k,8,33822,2.2982392670578586,2.0009475494714124,3.7669984908820227
ridge_gated_gbdt,unseen_well,hidden_suffix_length,>4k,8,33822,3.2340296322451096,2.0255729478285147,7.844449543852933
ridge_default,unseen_well,hidden_suffix_length,500-1k,2,1956,0.7779969831272168,0.7310186727169202,0.9906301272969628
ridge_affine_cal,unseen_well,hidden_suffix_length,500-1k,2,1956,0.8754574250717855,0.8550091192465172,1.0354147202809922
ridge_multibranch,unseen_well,hidden_suffix_length,500-1k,2,1956,1.065926363080432,1.0306082421293277,1.2934026719772218
ridge_affine_multibranch,unseen_well,hidden_suffix_length,500-1k,2,1956,1.4126072205060367,1.412569011861866,1.44220911043166
ridge_gated_gbdt,unseen_well,hidden_suffix_length,500-1k,2,1956,0.7106506160224696,0.5657643854748575,0.9906301272969628
ridge_default,same_well_masked,gr_missingness,50-80%,32,73812,2.4706761008987357,1.7639731915140258,5.686927905646951
ridge_affine_cal,same_well_masked,gr_missingness,50-80%,32,73812,2.520224371235488,1.7751121008206456,5.378610745828783
ridge_multibranch,same_well_masked,gr_missingness,50-80%,32,73812,2.43493486489052,1.685300333944394,5.7809590835583515
ridge_affine_multibranch,same_well_masked,gr_missingness,50-80%,32,73812,2.512807654587337,1.5763842918339868,5.339045790400727
ridge_gated_gbdt,same_well_masked,gr_missingness,50-80%,32,73812,2.338339824956998,1.5604374064747097,5.686927905646951
ridge_default,same_well_masked,gr_missingness,5-20%,102,237438,2.2520561098882346,1.341203170306651,6.371336790902614
ridge_affine_cal,same_well_masked,gr_missingness,5-20%,102,237438,2.2685982931308524,1.4148026032595922,6.827622831254261
ridge_multibranch,same_well_masked,gr_missingness,5-20%,102,237438,2.2344677592672673,1.4974894547231932,6.601424928690656
ridge_affine_multibranch,same_well_masked,gr_missingness,5-20%,102,237438,2.239529013279499,1.459716890922534,6.910359698146505
ridge_gated_gbdt,same_well_masked,gr_missingness,5-20%,102,237438,2.711729674618763,0.7559798433593697,13.73712211518353
ridge_default,same_well_masked,gr_missingness,<5%,95,251530,2.1302354258069336,1.264806916673531,5.773519322084207
ridge_affine_cal,same_well_masked,gr_missingness,<5%,95,251530,2.1285152651440935,1.324484162450866,5.479552931819551
ridge_multibranch,same_well_masked,gr_missingness,<5%,95,251530,2.180786529177707,1.4180521924447604,5.5466006006488975
ridge_affine_multibranch,same_well_masked,gr_missingness,<5%,95,251530,2.174481050665366,1.3370907743106983,5.407281658355159
ridge_gated_gbdt,same_well_masked,gr_missingness,<5%,95,251530,3.1868411685587237,1.0229977598041708,19.70242615795922
ridge_default,same_well_masked,gr_missingness,20-50%,9,15588,2.8698245924529795,1.652121568900548,8.253251411777718
ridge_affine_cal,same_well_masked,gr_missingness,20-50%,9,15588,2.940333553909399,1.7876054170211029,8.19242898080064
ridge_multibranch,same_well_masked,gr_missingness,20-50%,9,15588,2.3517469406909983,1.7311983269391977,5.453561215578245
ridge_affine_multibranch,same_well_masked,gr_missingness,20-50%,9,15588,2.3598332338820978,1.570809472838659,5.506860622248176
ridge_gated_gbdt,same_well_masked,gr_missingness,20-50%,9,15588,3.5882182226035115,0.8599482483389499,8.253251411777718
ridge_default,same_well_masked,gr_missingness,>80%,2,3443,0.9781092364706342,0.958149391810879,1.056535063742149
ridge_affine_cal,same_well_masked,gr_missingness,>80%,2,3443,1.2594755149563808,1.2316993315494456,1.3665054445858995
ridge_multibranch,same_well_masked,gr_missingness,>80%,2,3443,0.9511114749698399,0.9331572180100671,1.0229924936391876
ridge_affine_multibranch,same_well_masked,gr_missingness,>80%,2,3443,1.131041544442129,1.1158172477442085,1.1965647701228797
ridge_gated_gbdt,same_well_masked,gr_missingness,>80%,2,3443,0.9781092364706342,0.958149391810879,1.056535063742149
ridge_default,unseen_well,gr_missingness,50-80%,32,75923,2.079629614523194,1.4878887006456256,3.9893295543088807
ridge_affine_cal,unseen_well,gr_missingness,50-80%,32,75923,2.081714640104643,1.2607471992151715,4.214476215790473
ridge_multibranch,unseen_well,gr_missingness,50-80%,32,75923,2.0948965545354934,1.3975649409571378,3.924140634642981
ridge_affine_multibranch,unseen_well,gr_missingness,50-80%,32,75923,2.09135223294847,1.116688042332608,4.143040990547255
ridge_gated_gbdt,unseen_well,gr_missingness,50-80%,32,75923,2.1964880249743004,1.412456476676855,5.277163670868613
ridge_default,unseen_well,gr_missingness,5-20%,102,247248,2.562278349776524,1.3188032662591698,9.932341530860068
ridge_affine_cal,unseen_well,gr_missingness,5-20%,102,247248,2.5528442051639737,1.4150486560565227,9.681274984122508
ridge_multibranch,unseen_well,gr_missingness,5-20%,102,247248,2.597993669701064,1.4270527557544574,9.448318960339893
ridge_affine_multibranch,unseen_well,gr_missingness,5-20%,102,247248,2.5917119892329605,1.3143432451409947,8.899058036073482
ridge_gated_gbdt,unseen_well,gr_missingness,5-20%,102,247248,2.779675736475802,1.2295072960595497,9.932341530860068
ridge_default,unseen_well,gr_missingness,<5%,95,259513,1.968207257955388,1.3664132558821942,7.283130645076238
ridge_affine_cal,unseen_well,gr_missingness,<5%,95,259513,2.032345314107116,1.3462133774806913,6.923349683643669
ridge_multibranch,unseen_well,gr_missingness,<5%,95,259513,2.008830595919404,1.3381791923416098,7.484000351976297
ridge_affine_multibranch,unseen_well,gr_missingness,<5%,95,259513,2.052326371430346,1.4141364827848868,6.96963258112641
ridge_gated_gbdt,unseen_well,gr_missingness,<5%,95,259513,2.7118732007129176,1.0901921270096782,13.762948821740531
ridge_default,unseen_well,gr_missingness,20-50%,9,17065,1.9474211515264255,1.3484836159957783,3.46032299346065
ridge_affine_cal,unseen_well,gr_missingness,20-50%,9,17065,1.8967799472539586,1.2992846722785598,3.0014691821871478
ridge_multibranch,unseen_well,gr_missingness,20-50%,9,17065,2.154069423736796,1.1942415746693882,4.01368220820714
ridge_affine_multibranch,unseen_well,gr_missingness,20-50%,9,17065,2.0498553299124898,1.1488626419522359,3.361525681683452
ridge_gated_gbdt,unseen_well,gr_missingness,20-50%,9,17065,5.5136959168976585,1.3484836159957783,13.025447705839683
ridge_default,unseen_well,gr_missingness,>80%,2,3443,1.728337624457435,1.4533461393705513,2.1917111548577486
ridge_affine_cal,unseen_well,gr_missingness,>80%,2,3443,2.0743119975434445,1.7035315335416106,2.6539218325454295
ridge_multibranch,unseen_well,gr_missingness,>80%,2,3443,1.7019059045387503,1.4159505466301947,2.167363911775541
ridge_affine_multibranch,unseen_well,gr_missingness,>80%,2,3443,2.064813874118756,1.6554833392306008,2.661098165541612
ridge_gated_gbdt,unseen_well,gr_missingness,>80%,2,3443,1.728337624457435,1.4533461393705513,2.1917111548577486
