protocol,branch,stratify_by,stratum,n_wells,n_points,global_rmse,median_well_rmse,worst_well_rmse
same_well_masked,ridge_spatial_only,prefix_length,2k-4k,16,37407,2.835946874235782,1.6499731366780321,6.592534924570641
same_well_masked,ridge_align_spatial,prefix_length,2k-4k,16,37407,2.902238797292756,1.7684465653694539,6.223173912335215
same_well_masked,ridge_no_align,prefix_length,<1k,14,34289,1.4544489075164921,1.1344938258575938,2.516716905731668
same_well_masked,ridge_baseline,prefix_length,<1k,14,34289,1.451385280828834,1.157155216555205,2.4770970023837946
same_well_masked,ridge_spatial_only,prefix_length,<1k,14,34289,1.4135949783051776,1.2216635833437817,2.2188235348810155
same_well_masked,ridge_align_spatial,prefix_length,<1k,14,34289,1.3991371556822154,1.2240497659049239,2.259208623646227
unseen_well,ridge_no_align,prefix_length,4k-8k,19,51115,1.7752828332978683,1.8505433573178502,2.7429040379184175
unseen_well,ridge_baseline,prefix_length,4k-8k,19,51115,1.7524620438199687,1.8643704421054954,2.5430575613702193
unseen_well,ridge_spatial_only,prefix_length,4k-8k,19,51115,1.7351426190161263,1.6751419351088306,2.528146207536749
unseen_well,ridge_align_spatial,prefix_length,4k-8k,19,51115,1.7267893885114178,1.5319713367757413,2.5873902544266483
unseen_well,ridge_no_align,prefix_length,2k-4k,20,44398,1.84176490856665,1.3106709823771325,3.8831219621359376
unseen_well,ridge_baseline,prefix_length,2k-4k,20,44398,1.6542184314261794,1.2116849924420978,3.733638336011203
unseen_well,ridge_spatial_only,prefix_length,2k-4k,20,44398,1.5262133647167175,1.2526356788076167,3.1958863283633265
unseen_well,ridge_align_spatial,prefix_length,2k-4k,20,44398,1.5918799314561562,1.2666886561188915,3.0322177442366782
unseen_well,ridge_no_align,prefix_length,1k-2k,1,2015,0.8012092502181637,0.8012092502181637,0.8012092502181637
unseen_well,ridge_baseline,prefix_length,1k-2k,1,2015,0.820590963321564,0.820590963321564,0.820590963321564
unseen_well,ridge_spatial_only,prefix_length,1k-2k,1,2015,1.1486846105351265,1.1486846105351265,1.1486846105351265
unseen_well,ridge_align_spatial,prefix_length,1k-2k,1,2015,0.9601115522003021,0.9601115522003021,0.9601115522003021
